title,abstract,published
"The unknotting number, hard unknot diagrams, and reinforcement learning","We have developed a reinforcement learning agent that often finds a minimal
sequence of unknotting crossing changes for a knot diagram with up to 200
crossings, hence giving an upper bound on the unknotting number. We have used
this to determine the unknotting number of 57k knots. We took diagrams of
connected sums of such knots with oppositely signed signatures, where the
summands were overlaid. The agent has found examples where several of the
crossing changes in an unknotting collection of crossings result in hyperbolic
knots. Based on this, we have shown that, given knots $K$ and $K'$ that satisfy
some mild assumptions, there is a diagram of their connected sum and $u(K) +
u(K')$ unknotting crossings such that changing any one of them results in a
prime knot. As a by-product, we have obtained a dataset of 2.6 million distinct
hard unknot diagrams; most of them under 35 crossings. Assuming the additivity
of the unknotting number, we have determined the unknotting number of 43 at
most 12-crossing knots for which the unknotting number is unknown.",2024-09-13 17:59:52+00:00
"Agents in Software Engineering: Survey, Landscape, and Vision","In recent years, Large Language Models (LLMs) have achieved remarkable
success and have been widely used in various downstream tasks, especially in
the tasks of the software engineering (SE) field. We find that many studies
combining LLMs with SE have employed the concept of agents either explicitly or
implicitly. However, there is a lack of an in-depth survey to sort out the
development context of existing works, analyze how existing works combine the
LLM-based agent technologies to optimize various tasks, and clarify the
framework of LLM-based agents in SE. In this paper, we conduct the first survey
of the studies on combining LLM-based agents with SE and present a framework of
LLM-based agents in SE which includes three key modules: perception, memory,
and action. We also summarize the current challenges in combining the two
fields and propose future opportunities in response to existing challenges. We
maintain a GitHub repository of the related papers at:
https://github.com/DeepSoftwareAnalytics/Awesome-Agent4SE.",2024-09-13 17:55:58+00:00
Towards Leveraging Contrastively Pretrained Neural Audio Embeddings for Recommender Tasks,"Music recommender systems frequently utilize network-based models to capture
relationships between music pieces, artists, and users. Although these
relationships provide valuable insights for predictions, new music pieces or
artists often face the cold-start problem due to insufficient initial
information. To address this, one can extract content-based information
directly from the music to enhance collaborative-filtering-based methods. While
previous approaches have relied on hand-crafted audio features for this
purpose, we explore the use of contrastively pretrained neural audio embedding
models, which offer a richer and more nuanced representation of music. Our
experiments demonstrate that neural embeddings, particularly those generated
with the Contrastive Language-Audio Pretraining (CLAP) model, present a
promising approach to enhancing music recommendation tasks within graph-based
frameworks.",2024-09-13 17:53:06+00:00
INN-PAR: Invertible Neural Network for PPG to ABP Reconstruction,"Non-invasive and continuous blood pressure (BP) monitoring is essential for
the early prevention of many cardiovascular diseases. Estimating arterial blood
pressure (ABP) from photoplethysmography (PPG) has emerged as a promising
solution. However, existing deep learning approaches for PPG-to-ABP
reconstruction (PAR) encounter certain information loss, impacting the
precision of the reconstructed signal. To overcome this limitation, we
introduce an invertible neural network for PPG to ABP reconstruction (INN-PAR),
which employs a series of invertible blocks to jointly learn the mapping
between PPG and its gradient with the ABP signal and its gradient. INN-PAR
efficiently captures both forward and inverse mappings simultaneously, thereby
preventing information loss. By integrating signal gradients into the learning
process, INN-PAR enhances the network's ability to capture essential
high-frequency details, leading to more accurate signal reconstruction.
Moreover, we propose a multi-scale convolution module (MSCM) within the
invertible block, enabling the model to learn features across multiple scales
effectively. We have experimented on two benchmark datasets, which show that
INN-PAR significantly outperforms the state-of-the-art methods in both waveform
reconstruction and BP measurement accuracy.",2024-09-13 17:48:48+00:00
An Efficient and Streaming Audio Visual Active Speaker Detection System,"This paper delves into the challenging task of Active Speaker Detection
(ASD), where the system needs to determine in real-time whether a person is
speaking or not in a series of video frames. While previous works have made
significant strides in improving network architectures and learning effective
representations for ASD, a critical gap exists in the exploration of real-time
system deployment. Existing models often suffer from high latency and memory
usage, rendering them impractical for immediate applications. To bridge this
gap, we present two scenarios that address the key challenges posed by
real-time constraints. First, we introduce a method to limit the number of
future context frames utilized by the ASD model. By doing so, we alleviate the
need for processing the entire sequence of future frames before a decision is
made, significantly reducing latency. Second, we propose a more stringent
constraint that limits the total number of past frames the model can access
during inference. This tackles the persistent memory issues associated with
running streaming ASD systems. Beyond these theoretical frameworks, we conduct
extensive experiments to validate our approach. Our results demonstrate that
constrained transformer models can achieve performance comparable to or even
better than state-of-the-art recurrent models, such as uni-directional GRUs,
with a significantly reduced number of context frames. Moreover, we shed light
on the temporal memory requirements of ASD systems, revealing that larger past
context has a more profound impact on accuracy than future context. When
profiling on a CPU we find that our efficient architecture is memory bound by
the amount of past context it can use and that the compute cost is negligible
as compared to the memory cost.",2024-09-13 17:45:53+00:00
AI-LieDar: Examine the Trade-off Between Utility and Truthfulness in LLM Agents,"To be safely and successfully deployed, LLMs must simultaneously satisfy
truthfulness and utility goals. Yet, often these two goals compete (e.g., an AI
agent assisting a used car salesman selling a car with flaws), partly due to
ambiguous or misleading user instructions. We propose AI-LieDar, a framework to
study how LLM-based agents navigate scenarios with utility-truthfulness
conflicts in a multi-turn interactive setting. We design a set of realistic
scenarios where language agents are instructed to achieve goals that are in
conflict with being truthful during a multi-turn conversation with simulated
human agents. To evaluate the truthfulness at large scale, we develop a
truthfulness detector inspired by psychological literature to assess the
agents' responses. Our experiment demonstrates that all models are truthful
less than 50% of the time, although truthfulness and goal achievement (utility)
rates vary across models. We further test the steerability of LLMs towards
truthfulness, finding that models follow malicious instructions to deceive, and
even truth-steered models can still lie. These findings reveal the complex
nature of truthfulness in LLMs and underscore the importance of further
research to ensure the safe and reliable deployment of LLMs and AI agents.",2024-09-13 17:41:12+00:00
VAE Explainer: Supplement Learning Variational Autoencoders with Interactive Visualization,"Variational Autoencoders are widespread in Machine Learning, but are
typically explained with dense math notation or static code examples. This
paper presents VAE Explainer, an interactive Variational Autoencoder running in
the browser to supplement existing static documentation (e.g., Keras Code
Examples). VAE Explainer adds interactions to the VAE summary with interactive
model inputs, latent space, and output. VAE Explainer connects the high-level
understanding with the implementation: annotated code and a live computational
graph. The VAE Explainer interactive visualization is live at
https://xnought.github.io/vae-explainer and the code is open source at
https://github.com/xnought/vae-explainer.",2024-09-13 17:40:01+00:00
Contri(e)ve: Context + Retrieve for Scholarly Question Answering,"Scholarly communication is a rapid growing field containing a wealth of
knowledge. However, due to its unstructured and document format, it is
challenging to extract useful information from them through conventional
document retrieval methods. Scholarly knowledge graphs solve this problem, by
representing the documents in a semantic network, providing, hidden insights,
summaries and ease of accessibility through queries. Naturally, question
answering for scholarly graphs expands the accessibility to a wider audience.
But some of the knowledge in this domain is still presented as unstructured
text, thus requiring a hybrid solution for question answering systems. In this
paper, we present a two step solution using open source Large Language
Model(LLM): Llama3.1 for Scholarly-QALD dataset. Firstly, we extract the
context pertaining to the question from different structured and unstructured
data sources: DBLP, SemOpenAlex knowledge graphs and Wikipedia text. Secondly,
we implement prompt engineering to improve the information retrieval
performance of the LLM. Our approach achieved an F1 score of 40% and also
observed some anomalous responses from the LLM, that are discussed in the final
part of the paper.",2024-09-13 17:38:47+00:00
SGFormer: Single-Layer Graph Transformers with Approximation-Free Linear Complexity,"Learning representations on large graphs is a long-standing challenge due to
the inter-dependence nature. Transformers recently have shown promising
performance on small graphs thanks to its global attention for capturing
all-pair interactions beyond observed structures. Existing approaches tend to
inherit the spirit of Transformers in language and vision tasks, and embrace
complicated architectures by stacking deep attention-based propagation layers.
In this paper, we attempt to evaluate the necessity of adopting multi-layer
attentions in Transformers on graphs, which considerably restricts the
efficiency. Specifically, we analyze a generic hybrid propagation layer,
comprised of all-pair attention and graph-based propagation, and show that
multi-layer propagation can be reduced to one-layer propagation, with the same
capability for representation learning. It suggests a new technical path for
building powerful and efficient Transformers on graphs, particularly through
simplifying model architectures without sacrificing expressiveness. As
exemplified by this work, we propose a Simplified Single-layer Graph
Transformers (SGFormer), whose main component is a single-layer global
attention that scales linearly w.r.t. graph sizes and requires none of any
approximation for accommodating all-pair interactions. Empirically, SGFormer
successfully scales to the web-scale graph ogbn-papers100M, yielding
orders-of-magnitude inference acceleration over peer Transformers on
medium-sized graphs, and demonstrates competitiveness with limited labeled
data.",2024-09-13 17:37:34+00:00
Model-independent variable selection via the rule-based variable priorit,"While achieving high prediction accuracy is a fundamental goal in machine
learning, an equally important task is finding a small number of features with
high explanatory power. One popular selection technique is permutation
importance, which assesses a variable's impact by measuring the change in
prediction error after permuting the variable. However, this can be problematic
due to the need to create artificial data, a problem shared by other methods as
well. Another problem is that variable selection methods can be limited by
being model-specific. We introduce a new model-independent approach, Variable
Priority (VarPro), which works by utilizing rules without the need to generate
artificial data or evaluate prediction error. The method is relatively easy to
use, requiring only the calculation of sample averages of simple statistics,
and can be applied to many data settings, including regression, classification,
and survival. We investigate the asymptotic properties of VarPro and show,
among other things, that VarPro has a consistent filtering property for noise
variables. Empirical studies using synthetic and real-world data show the
method achieves a balanced performance and compares favorably to many
state-of-the-art procedures currently used for variable selection.",2024-09-13 17:32:05+00:00
